Host IP,DNS Hostname,NetBIOS Hostname,Tracking Method,Operating System,OS CPE,NETWORK,Last Scan Date,Evaluation Date,Control ID,Technology,Control,Criticality Label,Criticality Value,Instance,Status,Remediation,Deprecated,Evidence,Cause of Failure,Qualys Host ID
10.60.10.78,ec2amaz-89hcgvd,EC2AMAZ-89HCGVD,AGENT,Microsoft Windows Server 2019 Datacenter 10.0.17763 64-bit N/A Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/28/2023 at 04:26:14 (GMT+0700),11/28/2023 at 05:22:48 (GMT+0700),2398,Windows 2019 Server,Current list of Groups and User Accounts granted the 'Replace a process level token (SeAssignPrimaryTokenPrivilege)' right,URGENT,5,os,Failed,,0,"The following List String value(s) <B>X</B> indicate the current <B>Groups and User Accounts</B> granted the <B>Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\Replace a process level token (SeAssignPrimaryTokenPrivilege)</B> right.

======Expected Value(s)======
matches regular expression list
LOCAL SERVICE
NETWORK SERVICE

======Current Value(s) - Last updated: 11/28/2023 at 00:34:33 (GMT+0700)======
IIS APPPOOL\test
NT AUTHORITY\NETWORK SERVICE
IIS APPPOOL\TLT_CCO_DEV_ClientWeb
IIS APPPOOL\CCO_ClientAPI
NT AUTHORITY\LOCAL SERVICE
IIS APPPOOL\Test_Service_Worker
IIS APPPOOL\TLT_CCO_DEV_AdminWeb
IIS APPPOOL\Test_serviceworker
IIS APPPOOL\DefaultAppPool
","	======Unexpected values======
IIS APPPOOL\test
IIS APPPOOL\TLT_CCO_DEV_ClientWeb
IIS APPPOOL\CCO_ClientAPI
IIS APPPOOL\Test_Service_Worker
IIS APPPOOL\TLT_CCO_DEV_AdminWeb
IIS APPPOOL\Test_serviceworker
IIS APPPOOL\DefaultAppPool",c261fec8-5a95-4bcc-9b6e-6310a04a14b4
10.110.179.31,td-arkweb.tlt.co.th,TD-ARKWEB,AGENT,Microsoft Windows Server 2019 Standard 10.0.17763 64-bit N/A Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/28/2023 at 04:09:47 (GMT+0700),11/28/2023 at 04:13:28 (GMT+0700),2398,Windows 2019 Server,Current list of Groups and User Accounts granted the 'Replace a process level token (SeAssignPrimaryTokenPrivilege)' right,URGENT,5,os,Failed,,0,"The following List String value(s) <B>X</B> indicate the current <B>Groups and User Accounts</B> granted the <B>Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\Replace a process level token (SeAssignPrimaryTokenPrivilege)</B> right.

======Expected Value(s)======
matches regular expression list
LOCAL SERVICE
NETWORK SERVICE

======Current Value(s) - Last updated: 11/27/2023 at 18:41:22 (GMT+0700)======
NT AUTHORITY\NETWORK SERVICE
NT AUTHORITY\LOCAL SERVICE
IIS APPPOOL\DefaultAppPool
","	======Unexpected values======
IIS APPPOOL\DefaultAppPool",e0ecbb57-1875-4375-aba8-e91f1cf2f474
10.194.20.101,ec2amaz-2id5bf4,EC2AMAZ-2ID5BF4,AGENT,Windows Server 2019 Datacenter 64 bit Edition Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 20:41:45 (GMT+0700),11/27/2023 at 21:03:49 (GMT+0700),2192,Windows 2019 Server,Current list of Groups and User Accounts granted the 'Create a Pagefile' right,URGENT,5,os,Failed,,0,"The following List String value(s) <B>X</B> indicate the current <B>Groups and Users Accounts</B> granted the <B>Create a PageFile (SeCreatePagefilePrivilege)</B> right.

======Expected Value(s)======
matches regular expression list
Administrators
SERVICE
Local Service
Network Service

======Current Value(s) - Last updated: 11/27/2023 at 20:14:26 (GMT+0700)======
BUILTIN\Administrators
","
======Missing values======
SERVICE
Local Service
Network Service",bc454445-39c4-493f-a52c-706b5040ab02
10.194.20.101,ec2amaz-2id5bf4,EC2AMAZ-2ID5BF4,AGENT,Windows Server 2019 Datacenter 64 bit Edition Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 20:41:45 (GMT+0700),11/27/2023 at 21:03:49 (GMT+0700),2196,Windows 2019 Server,Current list of Groups and User Accounts granted the 'Deny Access to this computer from the network' right,CRITICAL,4,os,Failed,,0,"The following List String value(s) <B>X</B> indicate the current <B>Groups and Users Accounts</B> granted the <B>Deny Access to this computer from the network (SeDenyNetworkLogonRight)</B> right.

======Expected Value(s)======
contains regular expression list
\bGuests$

======Current Value(s) - Last updated: 11/27/2023 at 20:14:26 (GMT+0700)======
EC2AMAZ-2ID5BF4\Guest
","
======Missing values======
\bGuests$",bc454445-39c4-493f-a52c-706b5040ab02
10.194.20.101,ec2amaz-2id5bf4,EC2AMAZ-2ID5BF4,AGENT,Windows Server 2019 Datacenter 64 bit Edition Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 20:41:45 (GMT+0700),11/27/2023 at 21:03:49 (GMT+0700),2197,Windows 2019 Server,Current list of Groups and User Accounts granted the 'Deny logon as a batch job' right,CRITICAL,4,os,Failed,,0,"The following List String value(s) <B>X</B> indicate the current <B>Groups and Users Accounts</B> granted the <B>Deny logon as a batch job (SeDenyBatchLogonRight)</B> right.

======Expected Value(s)======
contains regular expression list
\bGuests$

======Current Value(s) - Last updated: 11/27/2023 at 20:14:26 (GMT+0700)======
EC2AMAZ-2ID5BF4\Guest
","
======Missing values======
\bGuests$",bc454445-39c4-493f-a52c-706b5040ab02
10.194.20.101,ec2amaz-2id5bf4,EC2AMAZ-2ID5BF4,AGENT,Windows Server 2019 Datacenter 64 bit Edition Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 20:41:45 (GMT+0700),11/27/2023 at 21:03:49 (GMT+0700),2398,Windows 2019 Server,Current list of Groups and User Accounts granted the 'Replace a process level token (SeAssignPrimaryTokenPrivilege)' right,URGENT,5,os,Failed,,0,"The following List String value(s) <B>X</B> indicate the current <B>Groups and User Accounts</B> granted the <B>Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\Replace a process level token (SeAssignPrimaryTokenPrivilege)</B> right.

======Expected Value(s)======
matches regular expression list
LOCAL SERVICE
NETWORK SERVICE

======Current Value(s) - Last updated: 11/27/2023 at 20:14:26 (GMT+0700)======
IIS APPPOOL\TLT_CCO_UAT_ClientWeb
NT AUTHORITY\NETWORK SERVICE
IIS APPPOOL\TLT_CCO_UAT_ClientAPI
IIS APPPOOL\TLT_CCO_UAT_AdminAPI
NT AUTHORITY\LOCAL SERVICE
IIS APPPOOL\TLT_CCO_UAT_AdminWeb
IIS APPPOOL\Test_ServiceWorker
","	======Unexpected values======
IIS APPPOOL\TLT_CCO_UAT_ClientWeb
IIS APPPOOL\TLT_CCO_UAT_ClientAPI
IIS APPPOOL\TLT_CCO_UAT_AdminAPI
IIS APPPOOL\TLT_CCO_UAT_AdminWeb
IIS APPPOOL\Test_ServiceWorker",bc454445-39c4-493f-a52c-706b5040ab02
10.194.20.101,ec2amaz-2id5bf4,EC2AMAZ-2ID5BF4,AGENT,Windows Server 2019 Datacenter 64 bit Edition Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 20:41:45 (GMT+0700),11/27/2023 at 21:03:49 (GMT+0700),3920,Windows 2019 Server,Status of the 'Turn off Internet download for Web publishing and online ordering wizards' setting,CRITICAL,4,os,Failed,,0,"This Integer value <B>X</B> indicates the current status of the setting <B>Turn off Internet download for Web publishing and online ordering wizards</B> using the registry key path<B>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoWebServices</B> A value of <B>0</B> indicates the setting is <B>disabled</B>; a value of <B>1</B> indicates the setting is <B>enabled</B>.

======Expected Value(s)======
Enabled (1)

======Current Value(s) - Last updated: 11/27/2023 at 20:14:26 (GMT+0700)======
Key not found
","	======Unexpected values======
Key not found",bc454445-39c4-493f-a52c-706b5040ab02
10.194.20.101,ec2amaz-2id5bf4,EC2AMAZ-2ID5BF4,AGENT,Windows Server 2019 Datacenter 64 bit Edition Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 20:41:45 (GMT+0700),11/27/2023 at 21:03:49 (GMT+0700),3899,Windows 2019 Server,Status of the 'Solicited Remote Assistance' policy setting (Terminal Services),SERIOUS,3,os,Failed,,0,"This integer value <B>X</B> indicates the  status of the setting <B>Configure Solicited Remote Assistance</B> using the registry key path <B>HKEY_LOCAL_MACHINE\Software\policies\Microsoft\Windows NT\Terminal Services\fAllowToGetHelp</B>, A value of <B>0</B> indicates the setting is<B>Disabled</B>, A value of <B>1</B> indicates the setting is <B>Enabled</B>.

======Expected Value(s)======
Disabled (0)

======Current Value(s) - Last updated: 11/27/2023 at 20:14:26 (GMT+0700)======
Key not found

======Permission Translation======
D : Create link 
 E : Notify 
 F :  Enumerate subkeys 
G : Create subkeys 
H : Set value 
 I : Query value 
 J : Delete 
 K : Write DAC 
 L : Write owner 
 M : Read control
","	======Unexpected values======
Key not found
======Missing values======
Disabled (0)",bc454445-39c4-493f-a52c-706b5040ab02
10.194.20.101,ec2amaz-2id5bf4,EC2AMAZ-2ID5BF4,AGENT,Windows Server 2019 Datacenter 64 bit Edition Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 20:41:45 (GMT+0700),11/27/2023 at 21:03:49 (GMT+0700),1183,Windows 2019 Server,Status of the 'Disable Autorun for all drives' setting for the HKLM key,SERIOUS,3,os,Failed,,0,"This Integer value <B>X</B> indicates the status of the setting <B>Turn off Autoplay for all drives (NoDriveTypeAutoRun)</B>, using registry key path <B>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoDriveTypeAutoRun</B>. A value of <B>181</B> indicates the setting is configured to <B>Autoplay disabled on network and removable drives</B>; a value of <B>255</B> indicates the setting is configured to <B>Autoplay disabled</B>; a value of <B>145</B> indicates the setting is <B>Not configured</B> for <B>Windows Vista, Windows XP Desktop, Windows 2008 Server </B>; a value of <B>149</B> indicates the setting is <B>Not configured</B> for <B>windows 2000, Windows 2003 Server</B>.

======Expected Value(s)======
All drives (255)
------------ OR ------------
equal to
All drives (255)

======Current Value(s) - Last updated: 11/27/2023 at 20:14:26 (GMT+0700)======
Key not found
","	======Unexpected values======
Key not found
======Missing values======
All drives (255)
------------ OR ------------
All drives (255)",bc454445-39c4-493f-a52c-706b5040ab02
10.194.20.101,ec2amaz-2id5bf4,EC2AMAZ-2ID5BF4,AGENT,Windows Server 2019 Datacenter 64 bit Edition Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 20:41:45 (GMT+0700),11/27/2023 at 21:03:49 (GMT+0700),3897,Windows 2019 Server,Status of 'Enumerate administrator accounts on elevation' setting,CRITICAL,4,os,Failed,,0,"The following Integer value <B>X</B> indicates the status of the <B>Enumerate administrator accounts on elevation</B> setting configured on the host, using the <B>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\CredUI\'EnumerateAdministrators'</B> registry key. A value of <B>1</B> indicates the setting is <B>Enabled</B>; a value of <B>0</B> indicates the setting is <B>Disabled</B>.

======Expected Value(s)======
Disabled (0)

======Current Value(s) - Last updated: 11/27/2023 at 20:14:26 (GMT+0700)======
Key not found

======Permission Translation======
D : Create link 
 E : Notify 
 F :  Enumerate subkeys 
G : Create subkeys 
H : Set value 
 I : Query value 
 J : Delete 
 K : Write DAC 
 L : Write owner 
 M : Read control
","	======Unexpected values======
Key not found
======Missing values======
Disabled (0)",bc454445-39c4-493f-a52c-706b5040ab02
